"Project_name","SiteID","sys_sample_code","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","NITROGEN, NITRATE (AS N)",2019-06-25 15:00:00,"14797-55-8","T",0.142,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","NITROGEN, NITRITE",2019-06-25 15:00:00,"14797-65-0","T",0.023,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","Orthophosphate as Phosphorus, Dissolved",2019-06-25 15:00:00,"PDORTHO","D",0.0072,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","PHOSPHORUS, TOTAL (AS P)",2019-06-25 15:00:00,"7723-14-0","T",0.0338,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-06252019-W","TURBIDITY",2019-06-25 15:00:00,"TURB","T",13.8,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Bromodichloromethane",2019-07-11 16:00:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Bromoform",2019-07-11 16:00:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Chloroform",2019-07-11 16:00:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Chlorophyll A",2019-07-11 16:00:00,"479-61-8","T",5.49,"ug/l",NA,"ug/l",0.15,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Dibromochloromethane",2019-07-11 16:00:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Nitrate+Nitrite as Nitrogen",2019-07-11 16:00:00,"NO3NO2N","T",0.297,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Nitrogen",2019-07-11 16:00:00,"KN","T",0.3,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Nitrogen, ammonia (As N)",2019-07-11 16:00:00,"7664-41-7","T",0.0967,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","NITROGEN, KJELDAHL, TOTAL",2019-07-11 16:00:00,"KN","T",0.39,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","NITROGEN, NITRATE (AS N)",2019-07-11 16:00:00,"14797-55-8","T",0.253,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","NITROGEN, NITRITE",2019-07-11 16:00:00,"14797-65-0","T",0.044,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","Orthophosphate as Phosphorus, Dissolved",2019-07-11 16:00:00,"PDORTHO","D",0.0085,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","PHOSPHORUS, TOTAL (AS P)",2019-07-11 16:00:00,"7723-14-0","T",0.0262,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-07112019-W","TURBIDITY",2019-07-11 16:00:00,"TURB","T",5.58,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Bromodichloromethane",2019-08-06 10:15:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Bromoform",2019-08-06 10:15:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Chloroform",2019-08-06 10:15:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Chlorophyll A",2019-08-06 10:15:00,"479-61-8","T",10.6,"ug/l",NA,"ug/l",0.46,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Dibromochloromethane",2019-08-06 10:15:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Nitrate+Nitrite as Nitrogen",2019-08-06 10:15:00,"NO3NO2N","T",0.351,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Nitrogen",2019-08-06 10:15:00,"KN","T",0.35,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Nitrogen, ammonia (As N)",2019-08-06 10:15:00,"7664-41-7","T",0.177,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-06 10:15:00,"KN","T",0.5,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","NITROGEN, NITRATE (AS N)",2019-08-06 10:15:00,"14797-55-8","T",0.3,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","NITROGEN, NITRITE",2019-08-06 10:15:00,"14797-65-0","T",0.05,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-06 10:15:00,"PDORTHO","D",0.011,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-06 10:15:00,"7723-14-0","T",0.0409,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08062019-W","TURBIDITY",2019-08-06 10:15:00,"TURB","T",4.19,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Bromodichloromethane",2019-08-19 13:15:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Bromoform",2019-08-19 13:15:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Chloroform",2019-08-19 13:15:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Chlorophyll A",2019-08-19 13:15:00,"479-61-8","T",2.26,"ug/l",NA,"ug/l",0.074,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Dibromochloromethane",2019-08-19 13:15:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Nitrate+Nitrite as Nitrogen",2019-08-19 13:15:00,"NO3NO2N","T",0.295,"mg/l",0.0015,"mg/l",0.002,"","R","Accuracy error ; Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Nitrogen",2019-08-19 13:15:00,"7727-37-9","T",0.29,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Nitrogen, ammonia (As N)",2019-08-19 13:15:00,"7664-41-7","T",0.305,"mg/l",0.003,"mg/l",0.01,"","R","Precision error ; Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","NITROGEN, KJELDAHL, TOTAL",2019-08-19 13:15:00,"KN","T",0.59,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","NITROGEN, NITRATE (AS N)",2019-08-19 13:15:00,"14797-55-8","T",0.258,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","NITROGEN, NITRITE",2019-08-19 13:15:00,"14797-65-0","T",0.036,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","Orthophosphate as Phosphorus, Dissolved",2019-08-19 13:15:00,"PDORTHO","T",0.0233,"mg/l",0.0049,"mg/l",0.005,"","R","Accuracy error"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","PHOSPHORUS, TOTAL (AS P)",2019-08-19 13:15:00,"7723-14-0","T",0.0529,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-08192019-W","TURBIDITY",2019-08-19 13:15:00,"TURB","T",18.5,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Bromodichloromethane",2019-09-04 15:30:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Bromoform",2019-09-04 15:30:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Chloroform",2019-09-04 15:30:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Chlorophyll A",2019-09-04 15:30:00,"479-61-8","T",4.41,"ug/l",NA,"ug/l",0.18,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Dibromochloromethane",2019-09-04 15:30:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Nitrate+Nitrite as Nitrogen",2019-09-04 15:30:00,"NO3NO2N","T",0.376,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Nitrogen",2019-09-04 15:30:00,"7727-37-9","T",0.38,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Nitrogen, ammonia (As N)",2019-09-04 15:30:00,"7664-41-7","T",0.124,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-04 15:30:00,"KN","T",0.35,"mg/l",0.1,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","NITROGEN, NITRATE (AS N)",2019-09-04 15:30:00,"14797-55-8","T",0.302,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","NITROGEN, NITRITE",2019-09-04 15:30:00,"14797-65-0","T",0.074,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-04 15:30:00,"PDORTHO","D",0.0176,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-04 15:30:00,"7723-14-0","T",0.0357,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09042019-W","TURBIDITY",2019-09-04 15:30:00,"TURB","T",7.11,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Bromodichloromethane",2019-09-16 13:15:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Bromoform",2019-09-16 13:15:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Chloroform",2019-09-16 13:15:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Chlorophyll A",2019-09-16 13:15:00,"479-61-8","T",1.34,"ug/l",NA,"ug/l",0.04,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Dibromochloromethane",2019-09-16 13:15:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Nitrate+Nitrite as Nitrogen",2019-09-16 13:15:00,"NO3NO2N","T",0.352,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Nitrogen",2019-09-16 13:15:00,"7727-37-9","T",0.35,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Nitrogen, ammonia (As N)",2019-09-16 13:15:00,"7664-41-7","T",0.353,"mg/l",0.003,"mg/l",0.01,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","NITROGEN, KJELDAHL, TOTAL",2019-09-16 13:15:00,"KN","T",0.41,"mg/l",0.1,"mg/l",0.1,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","NITROGEN, NITRATE (AS N)",2019-09-16 13:15:00,"14797-55-8","T",0.242,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","NITROGEN, NITRITE",2019-09-16 13:15:00,"14797-65-0","T",0.109,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","Orthophosphate as Phosphorus, Dissolved",2019-09-16 13:15:00,"PDORTHO","D",0.0164,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","PHOSPHORUS, TOTAL (AS P)",2019-09-16 13:15:00,"7723-14-0","T",0.0324,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-09162019-W","TURBIDITY",2019-09-16 13:15:00,"TURB","T",6.03,"ntu",0.06,"ntu",0.1,"","J","estimated value due to Equipment Blank error"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Bromodichloromethane",2019-10-29 14:30:00,"75-27-4","T",NA,"ug/l",0.22,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Bromoform",2019-10-29 14:30:00,"75-25-2","T",NA,"ug/l",0.25,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Chloroform",2019-10-29 14:30:00,"67-66-3","T",NA,"ug/l",0.24,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Chlorophyll A",2019-10-29 14:30:00,"479-61-8","T",0.935,"ug/l",NA,"ug/l",0.08,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Dibromochloromethane",2019-10-29 14:30:00,"124-48-1","T",NA,"ug/l",0.2,"ug/l",1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Nitrate+Nitrite as Nitrogen",2019-10-29 14:30:00,"NO3NO2N","T",0.221,"mg/l",0.0015,"mg/l",0.002,"","R","Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Nitrogen",2019-10-29 14:30:00,"7727-37-9","T",0.22,"mg/l",NA,"mg/l",0.1,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Nitrogen, ammonia (As N)",2019-10-29 14:30:00,"7664-41-7","T",0.041,"mg/l",0.003,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","NITROGEN, KJELDAHL, TOTAL",2019-10-29 14:30:00,"KN","T",0.39,"mg/l",0.1,"mg/l",0.1,"","R","Equipment Blank error ; Precision error ; Result should be less than the total"
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","NITROGEN, NITRATE (AS N)",2019-10-29 14:30:00,"14797-55-8","T",0.191,"mg/l",NA,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","NITROGEN, NITRITE",2019-10-29 14:30:00,"14797-65-0","T",0.03,"mg/l",0.007,"mg/l",0.01,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","Orthophosphate as Phosphorus, Dissolved",2019-10-29 14:30:00,"PDORTHO","D",0.0083,"mg/l",0.0049,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","PHOSPHORUS, TOTAL (AS P)",2019-10-29 14:30:00,"7723-14-0","T",0.0307,"mg/l",0.0036,"mg/l",0.005,"","A",""
"Mohawk 2019","11-UHUD-2.7","11-UHUD-2.7-10292019-W","TURBIDITY",2019-10-29 14:30:00,"TURB","T",16.6,"ntu",0.06,"ntu",0.1,"","A",""
"Mohawk 2019","12-CANW-72.3","12-CANW-72.3-05072019-W","Chlorophyll A",2019-05-07 12:00:00,"479-61-8","T",0.743,"ug/l",NA,"ug/l",0.056,"","A",""
"Mohawk 2019","12-CANW-72.3","12-CANW-72.3-05072019-W","Nitrate+Nitrite as Nitrogen",2019-05-07 12:00:00,"NO3NO2N","T",0.0998,"mg/l",0.0015,"mg/l",0.002,"","A",""
"Mohawk 2019","12-CANW-72.3","12-CANW-72.3-05072019-W","Nitrogen",2019-05-07 12:00:00,"KN","T",NA,"mg/l",NA,"mg/l",0.1,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-CANW-72.3","12-CANW-72.3-05072019-W","Nitrogen, ammonia (As N)",2019-05-07 12:00:00,"7664-41-7","T",NA,"mg/l",0.0036,"mg/l",0.005,"U","U","Analyte was analyzed for but not detected"
"Mohawk 2019","12-CANW-72.3","12-CANW-72.3-05072019-W","NITROGEN, KJELDAHL, TOTAL",2019-05-07 12:00:00,"KN","T",0.19,"mg/l",0.1,"mg/l",0.1,"","A",""
