"EVENT_ID","SiteID","sys_sample_code","chemical_name","sample_date","fraction","result_value","result_unit","validator_qualifiers","interpreted_qualifiers"
"12-CANW-72.3_2019-10-17","12-CANW-72.3","12-CANW-72.3","Chlorophyll A",2019-10-17 13:00:00,"T",0.96,"ug/l","A",NA
"12-LISH-2.1_2019-05-08","12-LISH-2.1","12-LISH-2.1-05082019-W","Chlorophyll A",2019-05-08 13:00:00,"T",4.2,"ug/l","A",NA
"12-LISH-2.1_2019-07-02","12-LISH-2.1","12-LISH-2.1-07022019-W","Chlorophyll A",2019-07-02 12:30:00,"T",1.16,"ug/l","A",NA
"12-LISH-2.1_2019-07-30","12-LISH-2.1","12-LISH-2.1-07302019-W","Chlorophyll A",2019-07-30 12:00:00,"T",1.76,"ug/l","A",NA
"12-LISH-2.1_2019-10-03","12-LISH-2.1","12-LISH-2.1-10032019-W","Chlorophyll A",2019-10-03 12:30:00,"T",0.907,"ug/l","A",NA
"12-LISH-2.1_2019-10-07","12-LISH-2.1","12-LISH-2.1-10072019-W","Chlorophyll A",2019-10-07 12:00:00,"T",0.921,"ug/l","A",NA
"12-LISH-2.1_2019-10-24","12-LISH-2.1","12-LISH-2.1-10242019-W","Chlorophyll A",2019-10-24 12:30:00,"T",1.1,"ug/l","A",NA
"12-LISH-2.1_2019-11-04","12-LISH-2.1","12-LISH-2.1-11042019-W","Chlorophyll A",2019-11-04 12:45:00,"T",0.359,"ug/l","A",NA
"12-LISH-2.1_2019-11-19","12-LISH-2.1","12-LISH-2.1-11192019-W","Chlorophyll A",2019-11-19 13:00:00,"T",2.77,"ug/l","A",NA
"12-MOHK-1.5_2019-07-22","12-MOHK-1.5","12-MOHK-1.5-07222019-W","Chlorophyll A",2019-07-22 13:00:00,"T",7.71,"ug/l","A",NA
"12-MOHK-1.5_2019-10-09","12-MOHK-1.5","12-MOHK-1.5-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"T",0.89,"ug/l","A",NA
"12-MOHK-1.5_2019-10-16","12-MOHK-1.5","12-MOHK-1.5-10162019-W","Chlorophyll A",2019-10-16 12:30:00,"T",0.683,"ug/l","A",NA
"12-MOHK-1.5_2019-10-29","12-MOHK-1.5","12-MOHK-1.5-10292019-W","Chlorophyll A",2019-10-29 13:30:00,"T",0.529,"ug/l","A",NA
"12-MOHK-13.4_2019-07-22","12-MOHK-13.4","12-MOHK-13.4-07222019-W","Chlorophyll A",2019-07-22 11:30:00,"T",7.71,"ug/l","A",NA
"12-MOHK-13.4_2019-10-09","12-MOHK-13.4","12-MOHK-13.4-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"T",0.74,"ug/l","A",NA
"12-MOHK-13.4_2019-10-16","12-MOHK-13.4","12-MOHK-13.4-10162019-W","Chlorophyll A",2019-10-16 11:15:00,"T",0.367,"ug/l","A",NA
"12-MOHK-13.4_2019-10-29","12-MOHK-13.4","12-MOHK-13.4-10292019-W","Chlorophyll A",2019-10-29 12:30:00,"T",0.56,"ug/l","A",NA
"12-MOHK-17.3_2019-07-22","12-MOHK-17.3","12-MOHK-17.3-07222019-W","Chlorophyll A",2019-07-22 10:00:00,"T",2.97,"ug/l","A",NA
"12-MOHK-17.3_2019-10-09","12-MOHK-17.3","12-MOHK-17.3-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"T",0.7,"ug/l","A",NA
"12-MOHK-17.3_2019-10-16","12-MOHK-17.3","12-MOHK-17.3-10162019-W","Chlorophyll A",2019-10-16 10:12:00,"T",0.291,"ug/l","A",NA
"12-MOHK-17.3_2019-10-29","12-MOHK-17.3","12-MOHK-17.3-10292019-W","Chlorophyll A",2019-10-29 11:15:00,"T",0.7,"ug/l","A",NA
"12-MOHK-24.0_2019-07-22","12-MOHK-24.0","12-MOHK-24-07222019-W","Chlorophyll A",2019-07-22 08:45:00,"T",1.25,"ug/l","A",NA
"12-MOHK-24.0_2019-10-09","12-MOHK-24.0","12-MOHK-24-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"T",1.2,"ug/l","A",NA
"12-MOHK-24.0_2019-10-16","12-MOHK-24.0","12-MOHK-24-10162019-W","Chlorophyll A",2019-10-16 09:20:00,"T",0.24,"ug/l","A",NA
"12-MOHK-24.0_2019-10-29","12-MOHK-24.0","12-MOHK-24-10292019-W","Chlorophyll A",2019-10-29 09:30:00,"T",0.519,"ug/l","A",NA
"12-MOHK-44.5_2019-09-05","12-MOHK-44.5","12-MOHK-44.5-09052019-W","Chlorophyll A",2019-09-05 13:00:00,"T",2.18,"ug/l","A",NA
"12-MOHK-45.9_2019-09-05","12-MOHK-45.9","12-MOHK-45.9-09052019-W","Chlorophyll A",2019-09-05 12:30:00,"T",0.456,"ug/l","A",NA
"12-MOHK-49.4_2019-09-05","12-MOHK-49.4","12-MOHK-49.4-09052019-W","Chlorophyll A",2019-09-05 10:45:00,"T",0.509,"ug/l","A",NA
"12-OTSQ-0.2_2019-05-08","12-OTSQ-0.2","12-OTSQ-0.2-05082019-W","Chlorophyll A",2019-05-08 09:30:00,"T",3.51,"ug/l","A",NA
"12-OTSQ-0.2_2019-07-02","12-OTSQ-0.2","12-OTSQ-0.2-07022019-W","Chlorophyll A",2019-07-02 09:15:00,"T",3.31,"ug/l","A",NA
"12-OTSQ-0.2_2019-07-30","12-OTSQ-0.2","12-OTSQ-0.2-07302019-W","Chlorophyll A",2019-07-30 10:00:00,"T",1.15,"ug/l","A",NA
"12-OTSQ-0.2_2019-10-03","12-OTSQ-0.2","12-OTSQ-0.2-10032019-W","Chlorophyll A",2019-10-03 09:15:00,"T",1.25,"ug/l","A",NA
"12-OTSQ-0.2_2019-10-07","12-OTSQ-0.2","12-OTSQ-0.2-10072019-W","Chlorophyll A",2019-10-07 09:45:00,"T",3.76,"ug/l","A",NA
"12-OTSQ-0.2_2019-10-24","12-OTSQ-0.2","12-OTSQ-0.2-10242019-W","Chlorophyll A",2019-10-24 09:45:00,"T",0.706,"ug/l","A",NA
"12-OTSQ-0.2_2019-11-19","12-OTSQ-0.2","12-OTSQ-0.2-11192019-W","Chlorophyll A",2019-11-19 10:15:00,"T",1.51,"ug/l","A",NA
"12-SAUQ-1.7_2019-05-07","12-SAUQ-1.7","12-SAUQ-1.7-05072019-W","Chlorophyll A",2019-05-07 10:00:00,"T",2.76,"ug/l","A",NA
"12-SAUQ-1.7_2019-05-14","12-SAUQ-1.7","12-SAUQ-1.7-05142019-W","Chlorophyll A",2019-05-14 13:30:00,"T",4.51,"ug/l","A",NA
"12-SAUQ-1.7_2019-05-21","12-SAUQ-1.7","12-SAUQ-1.7-05212019-W","Chlorophyll A",2019-05-21 11:00:00,"T",3.29,"ug/l","A",NA
"12-SAUQ-1.7_2019-06-05","12-SAUQ-1.7","12-SAUQ-1.7-06052019-W","Chlorophyll A",2019-06-05 09:00:00,"T",3.9,"ug/l","A",NA
"12-SAUQ-1.7_2019-06-18","12-SAUQ-1.7","12-SAUQ-1.7-06182019-W","Chlorophyll A",2019-06-18 10:30:00,"T",3.95,"ug/l","A",NA
"12-SAUQ-1.7_2019-07-02","12-SAUQ-1.7","12-SAUQ-1.7-07022019-W","Chlorophyll A",2019-07-02 09:00:00,"T",1.73,"ug/l","A",NA
"12-SAUQ-1.7_2019-07-17","12-SAUQ-1.7","12-SAUQ-1.7-07172019-W","Chlorophyll A",2019-07-17 13:00:00,"T",3.48,"ug/l","A",NA
"12-SAUQ-1.7_2019-07-30","12-SAUQ-1.7","12-SAUQ-1.7-07302019-W","Chlorophyll A",2019-07-30 11:00:00,"T",0.948,"ug/l","A",NA
"12-SAUQ-1.7_2019-08-12","12-SAUQ-1.7","12-SAUQ-1.7-08122019-W","Chlorophyll A",2019-08-12 14:00:00,"T",0.917,"ug/l","A",NA
"12-SAUQ-1.7_2019-08-26","12-SAUQ-1.7","12-SAUQ-1.7-08262019-W","Chlorophyll A",2019-08-26 11:30:00,"T",0.318,"ug/l","R","Equipment Blank error"
"12-SAUQ-1.7_2019-09-09","12-SAUQ-1.7","12-SAUQ-1.7-09092019-W","Chlorophyll A",2019-09-09 12:00:00,"T",0.581,"ug/l","A",NA
"12-SAUQ-1.7_2019-09-24","12-SAUQ-1.7","12-SAUQ-1.7-09242019-W","Chlorophyll A",2019-09-24 12:00:00,"T",1.66,"ug/l","A",NA
"12-SAUQ-1.7_2019-10-10","12-SAUQ-1.7","12-SAUQ-1.7-10102019-WS","Chlorophyll A",2019-10-10 14:00:00,"T",0.473,"ug/l","A",NA
"12-SAUQ-1.7_2019-10-22","12-SAUQ-1.7","12-SAUQ-1.7-10222019-W","Chlorophyll A",2019-10-22 14:00:00,"T",0.471,"ug/l","A",NA
"12-SAUQ-1.7_2019-11-06","12-SAUQ-1.7","12-SAUQ-1.7-11062019-W","Chlorophyll A",2019-11-06 11:00:00,"T",0.215,"ug/l","A",NA
"12-SAUQ-1.7_2019-11-12","12-SAUQ-1.7","12-SAUQ-1.7-11122019-W","Chlorophyll A",2019-11-12 13:00:00,"T",0.167,"ug/l","A",NA
"12-SAUQ-1.7_2019-11-18","12-SAUQ-1.7","12-SAUQ-1.7-11182019-W","Chlorophyll A",2019-11-18 12:00:00,"T",0.106,"ug/l","A",NA
"12-SAUQ-1.7_2019-10-17","12-SAUQ-1.7","12-SAUQ-1.7","Chlorophyll A",2019-10-17 14:00:00,"T",8.37,"ug/l","A",NA
"12-SCHO-36.0_2019-05-08","12-SCHO-36.0","12-SCHO-36-05082019-W","Chlorophyll A",2019-05-08 11:15:00,"T",2.41,"ug/l","A",NA
"12-SCHO-36.0_2019-07-02","12-SCHO-36.0","12-SCHO-36-07022019-W","Chlorophyll A",2019-07-02 10:30:00,"T",0.494,"ug/l","A",NA
"12-SCHO-36.0_2019-07-30","12-SCHO-36.0","12-SCHO-36-07302019-W","Chlorophyll A",2019-07-30 09:00:00,"T",0.679,"ug/l","A",NA
"12-SCHO-36.0_2019-10-03","12-SCHO-36.0","12-SCHO-36-10032019-W","Chlorophyll A",2019-10-03 10:50:00,"T",1.05,"ug/l","A",NA
"12-SCHO-36.0_2019-10-07","12-SCHO-36.0","12-SCHO-36-10072019-W","Chlorophyll A",2019-10-07 10:50:00,"T",0.606,"ug/l","A",NA
"12-SCHO-36.0_2019-10-24","12-SCHO-36.0","12-SCHO-36-10242019-W","Chlorophyll A",2019-10-24 11:00:00,"T",0.513,"ug/l","A",NA
"12-SCHO-36.0_2019-11-04","12-SCHO-36.0","12-SCHO-36-11042019-W","Chlorophyll A",2019-11-04 11:00:00,"T",3.78,"ug/l","A",NA
"12-SCHO-36.0_2019-11-19","12-SCHO-36.0","12-SCHO-36-11192019-W","Chlorophyll A",2019-11-19 11:25:00,"T",2.19,"ug/l","A",NA
"12-SHAK-0.1_2019-05-08","12-SHAK-0.1","12-SHAK-0.1-05082019-W","Chlorophyll A",2019-05-08 14:00:00,"T",5.27,"ug/l","A",NA
"12-SHAK-0.1_2019-07-02","12-SHAK-0.1","12-SHAK-0.1-07022019-W","Chlorophyll A",2019-07-02 13:30:00,"T",0.856,"ug/l","A",NA
"12-SHAK-0.1_2019-07-30","12-SHAK-0.1","12-SHAK-0.1-07302019-W","Chlorophyll A",2019-07-30 11:15:00,"T",2.24,"ug/l","A",NA
"12-SHAK-0.1_2019-09-25","12-SHAK-0.1","12-SHAK-0.1-09252019-W","Chlorophyll A",2019-09-25 13:45:00,"T",1.64,"ug/l","A",NA
"12-SHAK-0.1_2019-10-03","12-SHAK-0.1","12-SHAK-0.1-10032019-W","Chlorophyll A",2019-10-03 13:20:00,"T",2.24,"ug/l","A",NA
"12-SHAK-0.1_2019-10-07","12-SHAK-0.1","12-SHAK-0.1-10072019-W","Chlorophyll A",2019-10-07 12:45:00,"T",1.64,"ug/l","A",NA
"12-SHAK-0.1_2019-10-24","12-SHAK-0.1","12-SHAK-0.1-10242019-W","Chlorophyll A",2019-10-24 13:15:00,"T",0.6,"ug/l","A",NA
"12-SHAK-0.1_2019-11-04","12-SHAK-0.1","12-SHAK-0.1-11042019-W","Chlorophyll A",2019-11-04 13:30:00,"T",0.368,"ug/l","A",NA
"12-SHAK-0.1_2019-11-19","12-SHAK-0.1","12-SHAK-0.1-11192019-W","Chlorophyll A",2019-11-19 14:00:00,"T",0.71,"ug/l","A",NA
"11-UHUD-2.7_2019-07-22","11-UHUD-2.7","12-UHUD-2.7-07222019-W","Chlorophyll A",2019-07-22 14:30:00,"T",8.18,"ug/l","A",NA
"11-UHUD-2.7_2019-10-09","11-UHUD-2.7","12-UHUD-2.7-10092019-W","Chlorophyll A",2019-10-09 00:00:00,"T",1.23,"ug/l","A",NA
