"EVENT_ID","SITE_ID","COLL_DATE","CREW","TEMP","PERCENT_SAT","DO","COND","SALINITY","PH","Chl_ugL","Chl_RFU","PC_ugL","PC_RFU","WATER_CHEM_COLLECT","CHEM_SAMP_LOC","EQUIP_USED","LANDUSE","W_DEPTH","W_WIDTH","CUR_SPD","CANOPY","ALGAE_D","ALGAE_S","ALGAE_FIL","BOTTOM_TYPE","DOM_SUBSTRATE","Project_name","SiteID","sys_sample_code","SDG","chemical_name","sample_date","cas_rn","fraction","result_value","result_unit","method_detection_limit","detection_limit_unit","quantitation_limit","lab_qualifiers","validator_qualifiers","interpreted_qualifiers","qaqc_date","sample_date2","Project"
"14-WLAK-5.8_2019-08-20","14-WLAK-5.8",2019-08-20,"Lemley,Schnore","27.2","137.2","10.89","219.3","0.1","7.16",3.92,"1.03","0.05","0.09","X","Waded","Bottle","Wetland","1.5","8.5","1","0","100","X","X","Soft","Silt","Chlorophyll pull 2020-02-25","14-WLAK-5.8","14-WLAK-5.8-08202019-W","R1907962","Chlorophyll A",2019-08-20 15:30:00,"479-61-8","T",2.75,"ug/l",NA,"ug/l",0.15,NA,"J","estimated value due to Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-BEBR-8.2_2019-08-20","14-BEBR-8.2",2019-08-20,"Schnore,Lemley","24.4","97.9","8.18","36.8","0.02","7.22",3.12,"0.8","0.02","0.06","X","Waded","Bottle","Forest","0.15","2.5","26","80","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-BEBR-8.2","14-BEBR-8.2-08202019-W","R1907962","Chlorophyll A",2019-08-20 14:45:00,"479-61-8","T",0.645,"ug/l",NA,"ug/l",0.039,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-HAFY_T8-0.1_2019-08-20","14-HAFY_T8-0.1",2019-08-20,"Lemley,Schnore","20.4","93","8.39","97.2","0.04","7.04",1.2,"0.35","0","0","X","Waded","Bottle","Forest","0.1","2","40","40","20","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-HAFY_T8-0.1","14-HAFY_T8-0.1-08202019-W","R1907962","Chlorophyll A",2019-08-20 13:00:00,"479-61-8","T",0.195,"ug/l",NA,"ug/l",0.041,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-MONG_E-0.2_2019-08-20","14-MONG_E-0.2",2019-08-20,"Lojpersberger,Stoll","23.9","105.7","8.9","216.6","0.1","7.28",14.66,"3.54","0.64","0.63","X","Waded","Bottle","Residential","0.25","7","30","20","30","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-MONG_E-0.2","14-MONG_E-0.2-08202019-W","R1907960","Chlorophyll A",2019-08-20 17:00:00,"479-61-8","T",0.572,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-20,"Screening - Delaware"
"14-MONG_M-0.3_2019-08-20","14-MONG_M-0.3",2019-08-20,"Lojpersberger,Stoll","23.8","109","9.27","326","0.16","8.18",0.74,"0.2","0.05","0.01","X","Waded","Bottle","Forest","0.25","6","80","50","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-MONG_M-0.3","14-MONG_M-0.3-08202019-W","R1907960","Chlorophyll A",2019-08-20 16:15:00,"479-61-8","T",1.38,"ug/l",NA,"ug/l",0.038,NA,"T",NA,2020-02-25,2019-08-20,"Screening - Delaware"
"14-LEBA-0.6_2019-08-20","14-LEBA-0.6",2019-08-20,"Lojpersberger,Stoll","25.2","92.8","7.65","15.8","0.01","6.51",0.43,"0.11","0.05","0.02","X","Waded","Bottle","Forest","0.25","2","70","70","40","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-LEBA-0.6","14-LEBA-0.6-08202019-W","R1907960","Chlorophyll A",2019-08-20 14:45:00,"479-61-8","T",0.657,"ug/l",NA,"ug/l",0.038,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-NEVR-14.6_2019-08-20","14-NEVR-14.6",2019-08-20,"Lojpersberger,Stoll","22.8","104.2","8.96","112.9","0.05","7.84",0.52,"0.13","0.09","0.05","X","Waded","Bottle","Residential","0.5","20","90","50","90","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-NEVR-14.6","14-NEVR-14.6-08202019-W","R1907960","Chlorophyll A",2019-08-20 13:35:00,"479-61-8","T",0.86,"ug/l",NA,"ug/l",0.038,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-NEVR_T20-0.3_2019-08-20","14-NEVR_T20-0.3",2019-08-20,"Lojpersberger,Stoll","17","95.1","9.19","56","0.03","7.01",0.22,"0.05","0","0","X","Waded","Bottle","Forest","0.1","4","60","60","20","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-NEVR_T20-0.3","14-NEVR_T20-0.3-08202019-W","R1907960","Chlorophyll A",2019-08-20 12:50:00,"479-61-8","T",0.243,"ug/l",NA,"ug/l",0.038,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-BSHR-3.7_2019-08-20","14-BSHR-3.7",2019-08-20,"Lojpersberger,Stoll","20.6","78.7","7.07","149.7","0.07","6.72",0.24,"0.06","0.04","0","X","Waded","Bottle","Forest","0.3","8","40","70","90","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BSHR-3.7","14-BSHR-3.7-08202019-W","R1907960","Chlorophyll A",2019-08-20 11:45:00,"479-61-8","T",0.436,"ug/l",NA,"ug/l",0.038,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"14-BRIS-2.0_2019-08-21","14-BRIS-2.0",2019-08-21,"Schnore,Lemley","26.3","92.8","7.49","86.5","0.04","7.16",12.09,"3.06","0.67","0.71","X","Waded","Bottle","Agriculture","0.1","4","35","70","10","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BRIS-2.0","14-BRIS-2.0-08212019-W","R1907962","Chlorophyll A",2019-08-21 15:45:00,"479-61-8","T",15.7,"ug/l",NA,"ug/l",0.82,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-CALL_E-0.4_2019-08-21","14-CALL_E-0.4",2019-08-21,"Lemley,Schnore","23.2","108.1","9.23","155.9","0.07",NA,3.19,"0.84","0.16","0.22","X","Waded","Bottle","Residential","0.5","7","40","50","50","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-CALL_E-0.4","14CALL_E-0.4-08212019-W","R1907962","Chlorophyll A",2019-08-21 14:30:00,"479-61-8","T",3.84,"ug/l",NA,"ug/l",0.16,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-CALL_E-0.2_2019-08-21","14-CALL_E-0.2",2019-08-21,"Schnore,Lemley","24.4","107.6","8.99","164.4","0.08","8.84",2.45,"0.67","-0.02","-0.06","X","Waded","Bottle","Residential","0.2","15","45","10","20","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-CALL_E-0.2","14CALL_E-0.2-08212019-W","R1907962","Chlorophyll A",2019-08-21 14:00:00,"479-61-8","T",1.55,"ug/l",NA,"ug/l",0.15,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-CALL_N-0.6_2019-08-21","14-CALL_N-0.6",2019-08-21,"Lemley,Schnore","21","104.3","9.3","128.9","0.06","8.01",1.97,"0.53","0.02","0.07","X","Waded","Bottle","Residential","0.2","8","55","50","40","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-CALL_N-0.6","14-CALL_N-0.6-08212019-W","R1907962","Chlorophyll A",2019-08-21 13:30:00,"479-61-8","T",2.67,"ug/l",NA,"ug/l",0.16,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-DELA-50.4_2019-08-21","14-DELA-50.4",2019-08-21,"Schnore,Lemley","22.9","123.6","10.61","139.1","0.06","8.87",1.18,"0.34","0.03","0.01","X","Waded","Bottle","Forest","1","45","95","0","60","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-50.4","14-DELA-50.4-08212019-W","R1907962","Chlorophyll A",2019-08-21 13:00:00,"479-61-8","T",0.439,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-CALL-0.2_2019-08-21","14-CALL-0.2",2019-08-21,"Schnore,Lemley","21.8","115.6","10.16","151.9","0.07","8.69",1.71,"0.48","0.02","0.04","X","Waded","Bottle","Commercial","0.15","28","31","10","100","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-CALL-0.2","14-CALL-0.2-08212019-W","R1907962","Chlorophyll A",2019-08-21 12:00:00,"479-61-8","T",1.94,"ug/l",NA,"ug/l",0.16,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-DELA-45.2_2019-08-21","14-DELA-45.2",2019-08-21,"Schnore,Lemley","22.1","102.1","8.9","95.3","0.04","7.69",1.07,"0.32","-0.05","-0.01","X","Waded","Bottle","Forest","0.3","60","50","0","70","X","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-45.2","14-DELA-45.2-08212019-W","R1907962","Chlorophyll A",2019-08-21 11:15:00,"479-61-8","T",0.637,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-TENR-3.7_2019-08-21","14-TENR-3.7",2019-08-21,"Schnore,Lemley","21","84.5","7.53","107.7","0.05","7.26",2.54,"0.68","-0.01","0.03","X","Waded","Bottle","Wetland","0.75","12","10","0","80","N","N","Soft","Sand","Chlorophyll pull 2020-02-25","14-TENR-3.7","14-TENR-3.7-08212019-W","R1907962","Chlorophyll A",2019-08-21 10:30:00,"479-61-8","T",1.77,"ug/l",NA,"ug/l",0.081,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-DELA-31.2_2019-08-21","14-DELA-31.2",2019-08-21,"Lemley,Schnore","24.2","92.3","7.73","95","0.04","7.36",0.66,"0.22","-0.12","-0.08","X","Waded","Bottle","Forest","1","25","75","0","50","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-31.2","14-DELA-31.2-08212019-W","R1907962","Chlorophyll A",2019-08-21 09:30:00,"479-61-8","T",NA,"ug/l",NA,"ug/l",0.039,"U","U","Analyte was analyzed for but not detected",2020-02-25,2019-08-21,"Screening - Delaware"
"14-BASS-0.2_2019-08-22","14-BASS-0.2",2019-08-22,"Lojpersberger,Stoll","19.2","88.8","8.21","144.8","0.07","7.35",2.67,"0.65","0.08","0.03","X","Waded","Bottle","Agriculture","0.1","1","50","80","80","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BASS-0.2","14-BASS-0.2-08222019-W","R1908139","Chlorophyll A",2019-08-22 13:00:00,"479-61-8","T",3.41,"ug/l",NA,"ug/l",0.39,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-TOWN_T11-0.2_2019-08-22","14-TOWN_T11-0.2",2019-08-22,"Lojpersberger,Stoll","20.1","97.8","8.8","107.9","0.05","7.31",1.01,"0.3","0.04","0","X","Waded","Bottle","Agriculture","0.12","2","45","70","80","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-TOWN_T11-0.2","14-TOWN-T11-0.2-08222019-W","R1908139","Chlorophyll A",2019-08-22 12:15:00,"479-61-8","T",1.06,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-EDEL-55.3_2019-08-22","14-EDEL-55.3",2019-08-22,"Lojpersberger,Stoll","21","99.7","8.89","133.8","0.06","7.35",1.57,"0.45","0.02","0.04","X","Waded","Bottle","Recreational","0.25","15","60","40","90","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-EDEL-55.3","14-EDEL-55.3-08222019-W","R1908139","Chlorophyll A",2019-08-22 10:50:00,"479-61-8","T",3.1,"ug/l",NA,"ug/l",0.15,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-DRBR-2.1_2019-08-22","14-DRBR-2.1",2019-08-22,"Lojpersberger,Stoll","18.2","97.3","9.17","49.8","0.02","6.89",0.31,"0.11","0.09","0.02","X","Waded","Bottle","Forest","0.15","15","50","30","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DRBR-2.1","14-DRBR-2.1-08222019-W","R1908139","Chlorophyll A",2019-08-22 10:15:00,"479-61-8","T",1.04,"ug/l",NA,"ug/l",0.038,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-SPRB-0.5_2019-08-22","14-SPRB-0.5",2019-08-22,"Lojpersberger,Stoll","17.2","97.5","9.38","73.1","0.03","7.19",0.22,"0.02","0.03","0.05","X","Waded","Bottle","Forest","0.2","5","65","40","80","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-SPRB-0.5","14-SPRB-0.5-08222019-W","R1908139","Chlorophyll A",2019-08-22 08:50:00,"479-61-8","T",0.497,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-BEAV-18.5_2019-08-22","14-BEAV-18.5",2019-08-22,"Lojpersberger,Stoll","18.6","95.5","8.94","46.9","0.02","7.21",0.11,"0.03","0.06","0.04","X","Waded","Bottle","Forest","0.3","12","110","20","50","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BEAV-18.5","14-BEAV-18.5-08222019-W","R1908139","Chlorophyll A",2019-08-22 08:00:00,"479-61-8","T",0.593,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-22,"Screening - Delaware"
"14-BEEB-3.5_2019-08-21","14-BEEB-3.5",2019-08-21,"Lojpersberger,Stoll","18","92","8.72","68.1","0.03","7.07",0.06,"0.01","0.04","0.01","X","Waded","Bottle","Forest","0.1","1","40","80","70","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BEEB-3.5","14-BEEB-3.5-08212019-W","R1908139","Chlorophyll A",2019-08-21 15:45:00,"479-61-8","T",0.464,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-WDEL-35.4_2019-08-21","14-WDEL-35.4",2019-08-21,"Lojpersberger,Stoll","24.8","127.5","10.56","167.9","0.08","8.5",2.49,"0.08","0.11","0.06","X","Waded","Bottle","Agriculture","0.3","30","95","20","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-WDEL-35.4","14-WDEL-35.5-08212019-W","R1908139","Chlorophyll A",2019-08-21 15:00:00,"479-61-8","T",6.49,"ug/l",NA,"ug/l",0.39,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-FSED-0.1_2019-08-21","14-FSED-0.1",2019-08-21,"Lojpersberger,Stoll","21","101.4","9.04","90","0.04","7.26",0.03,"0.02","0.05","0.11","X","Waded","Bottle","Agriculture","0.12","2","45","50","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-FSED-0.1","14-FSED-0.1-08212019-W","R1908139","Chlorophyll A",2019-08-21 14:10:00,"479-61-8","T",0.516,"ug/l",NA,"ug/l",0.039,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-WDEL-1.3_2019-08-21","14-WDEL-1.3",2019-08-21,"Lojpersberger,Stoll","15.9","109.3","10.8","99","0.05","7.64",0.2,"0.05","0","0","X","Waded","Bottle","Commercial","0.42","30","120","20","90","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-WDEL-1.3","14-WDEL-1.3-08212019-W","R1907960","Chlorophyll A",2019-08-21 13:10:00,"479-61-8","T",1.75,"ug/l",NA,"ug/l",0.076,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-EDEL-1.2_2019-08-21","14-EDEL-1.2",2019-08-21,"Lojpersberger,Stoll","23.4","104","8.86","91.8","0.04","7.55",0.14,"0.03","0.03","0.02","X","Waded","Bottle","Residential","0.3","35","70","10","90","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-EDEL-1.2","14-EDEL-1.2-08212019-W","R1907960","Chlorophyll A",2019-08-21 12:30:00,"479-61-8","T",0.645,"ug/l",NA,"ug/l",0.04,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-DELA-65.9_2019-08-21","14-DELA-65.9",2019-08-21,"Lojpersberger,Stoll,Onion","22.1","100.7","8.78","90.4","0.04","7.52",0.28,"0.06","0.01","0.02","X","Waded","Bottle","Forest","0.33","40","90","10","70","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-65.9","14-DELA-65.9-08212019-W","R1907960","Chlorophyll A",2019-08-21 11:00:00,"479-61-8","T",0.657,"ug/l",NA,"ug/l",0.038,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-DELA-59.2_2019-08-21","14-DELA-59.2",2019-08-21,"Lojpersberger,Stoll","21.3","96.5","8.56","84.1","0.04","7.25",0.36,"0.08","0.13","0.04","X","Waded","Bottle","Forest","0.4","40","110","10","80","N","X",NA,NA,"Chlorophyll pull 2020-02-25","14-DELA-59.2","14-DELA-59.2-08212019-W","R1907960","Chlorophyll A",2019-08-21 09:30:00,"479-61-8","T",1.14,"ug/l",NA,"ug/l",0.076,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-BASK_N-1.7_2019-08-21","14-BASK_N-1.7",2019-08-21,"Lojpersberger,Stoll","18.2","94.5","8.91","106","0.05","7.3",0.41,"0.09","0.01","0.04","X","Waded","Bottle","Forest","0.15","3","55","80","50","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-BASK_N-1.7","14-BASK_N-1.7-08212019-W","R1907960","Chlorophyll A",2019-08-21 08:45:00,"479-61-8","T",0.535,"ug/l",NA,"ug/l",0.038,NA,"A",NA,2020-02-25,2019-08-21,"Screening - Delaware"
"14-PINE-4.4_2019-08-20","14-PINE-4.4",2019-08-20,"Lojpersberger,Stoll","20.2","96.6","8.74","144.4","0.07","7.29",0.28,"0.08","0.06","0.04","X","Waded","Bottle","Forest","0.3","2","75","90","30","N","N",NA,NA,"Chlorophyll pull 2020-02-25","14-PINE-4.4","14-PINE-4.4-08202019-W","R1907960","Chlorophyll A",2019-08-20 11:00:00,"479-61-8","T",0.5,"ug/l",NA,"ug/l",0.039,NA,"R","Equipment Blank error",2020-02-25,2019-08-20,"Screening - Delaware"
"07-OWLI-3.0_2019-07-16","07-OWLI-3.0",2019-07-16,"Heitzman,Onion","19","101.4","9.39","454.4","0.22","8.13",0.75,"0.16","0.08","0.15","X","Bridge","Depth_Integrated","Agriculture","0.2","15","-5","10","0","N","N",NA,NA,"Chlorophyll pull 2020-02-25","07-OWLI-3.0","07-OWLI-3.0-07162019-W","R1906687","Chlorophyll A",2019-07-16 10:30:00,"479-61-8","T",0.869,"ug/l",NA,"ug/l",0.045,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
"07-OWAL_T9-0.1_2019-07-16","07-OWAL_T9-0.1",2019-07-16,"Heitzman,Onion,Other","18.1","96.1","9.06","-5","580","8.36",4.81,"1.14","0.23","0.2","X",NA,NA,NA,"0.1","1","12","70",NA,NA,NA,NA,NA,"Chlorophyll pull 2020-02-25","07-OWAL_T9-0.1","07-OWAL_T9-0.1-07162019-W","R1906687","Chlorophyll A",2019-07-16 12:00:00,"479-61-8","T",0.259,"ug/l",NA,"ug/l",0.038,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
"07-SCKR-0.1_2019-07-16","07-SCKR-0.1",2019-07-16,"Onion,Heitzman,Other","25.3","106","8.7","574","0.28","8.24",5.4,"1.3","0.3","0.4","X","Waded","Depth_Integrated","Residential","0.2","3","30","80","30","N","X",NA,NA,"Chlorophyll pull 2020-02-25","07-SCKR-0.1","07-SCKR-0.1-07162019-W","R1906687","Chlorophyll A",2019-07-16 14:00:00,"479-61-8","T",1.19,"ug/l",NA,"ug/l",0.076,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
"07-DUCH-0.3_2019-07-16","07-DUCH-0.3",2019-07-16,"Heitzman,Onion,Other","24.3","116.8","-5","479.6","0.23","8.29",1.2,"0.28","0.1","0.16","X","Bridge","Depth_Integrated","Agriculture","0.2","5","16.7","10","0","N","X",NA,NA,"Chlorophyll pull 2020-02-25","07-DUCH-0.3","07-DUCH-0.3-07162019-W","R1906687","Chlorophyll A",2019-07-16 13:00:00,"479-61-8","T",1.05,"ug/l",NA,"ug/l",0.041,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
"07-VENE-1.5_2019-07-16","07-VENE-1.5",2019-07-16,"Heitzman,Other,Onion","23.5","109.3","9.26","732","0.36","7.99",22.31,"5.3","1.8","1.8","X","Bridge","Bottle","Agriculture","0.1","1","0.3","90","0","N","X",NA,NA,"Chlorophyll pull 2020-02-25","07-VENE-1.5","07-VENE-1.5-07162019-W","R1906687","Chlorophyll A",2019-07-16 15:10:00,"479-61-8","T",4.5,"ug/l",NA,"ug/l",0.16,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
"07-OWAL_T46-0.1_2019-07-16","07-OWAL_T46-0.1",2019-07-16,"Heitzman,Onion,Other","19.3","92.3","8.5","519","0.25","8.11",0.18,"0.03","0.05","0.1","X","Waded","Bottle",NA,"0.1","1","4.6","70",NA,"N","N",NA,NA,"Chlorophyll pull 2020-02-25","07-OWAL_T46-0.1","07-OWAL_T46-0.1-07162019-W","R1906687","Chlorophyll A",2019-07-16 00:00:00,"479-61-8","T",0.192,"ug/l",NA,"ug/l",0.038,NA,"A",NA,2020-02-25,2019-07-16,"Finger Lakes RAS"
